prompt_id,category,removed,n_tokens,n_words,len_ratio,stopped_early,divergence_tok,diverged,prefix_frac,uni_f1,big_f1,distinct_1,distinct_2,distinct_3,loop_onset,looped_frac,ttr,mean_sent_len,py_parse_frac
code_00,code,0,1024,750,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1943359375,0.39589442815249265,0.5166340508806262,698,0.7001953125,0.232,11.323529411764707,1.0
code_00,code,1,1024,753,1.0,0.0,171,1.0,0.1669921875,0.80078125,0.6871945259042033,0.2255859375,0.4604105571847507,0.6037181996086106,381,0.533203125,0.2775564409030544,9.426829268292684,1.0
code_00,code,2,1024,827,1.0,0.0,171,1.0,0.1669921875,0.630859375,0.458455522971652,0.2109375,0.42130987292277616,0.5244618395303327,380,0.6494140625,0.2370012091898428,16.607843137254903,1.0
code_00,code,3,1024,750,1.0,0.0,449,1.0,0.4384765625,0.998046875,0.9921798631476052,0.1943359375,0.39589442815249265,0.5166340508806262,698,0.7001953125,0.232,11.323529411764707,1.0
code_01,code,0,1024,509,1.0,0.0,0,0.0,1.0,1.0,1.0,0.154296875,0.3362658846529814,0.449119373776908,723,0.6611328125,0.29273084479371314,5.679245283018868,1.0
code_01,code,1,1024,490,1.0,0.0,439,1.0,0.4287109375,0.9609375,0.9550342130987293,0.1396484375,0.3118279569892473,0.4178082191780822,681,0.73828125,0.27755102040816326,5.435185185185185,1.0
code_01,code,2,1024,506,1.0,0.0,439,1.0,0.4287109375,0.9697265625,0.9599217986314761,0.1435546875,0.3225806451612903,0.4334637964774951,708,0.6904296875,0.27865612648221344,5.660377358490566,1.0
code_01,code,3,1024,491,1.0,0.0,439,1.0,0.4287109375,0.9599609375,0.9491691104594331,0.1396484375,0.31573802541544477,0.4217221135029354,684,0.7353515625,0.2790224032586558,5.485981308411215,1.0
code_02,code,0,1024,815,1.0,0.0,0,0.0,1.0,1.0,1.0,0.181640625,0.34017595307917886,0.3933463796477495,506,0.6875,0.19141104294478528,16.79591836734694,1.0
code_02,code,1,1024,649,1.0,0.0,261,1.0,0.2548828125,0.48828125,0.32453567937438904,0.1904296875,0.38220918866080156,0.4589041095890411,365,0.5947265625,0.2526964560862866,16.29268292682927,1.0
code_02,code,2,1024,727,1.0,0.0,261,1.0,0.2548828125,0.51171875,0.32746823069403713,0.2373046875,0.5043988269794721,0.6252446183953033,368,0.33203125,0.29573590096286106,17.761904761904763,1.0
code_02,code,3,1024,812,1.0,0.0,267,1.0,0.2607421875,0.984375,0.9775171065493646,0.185546875,0.3479960899315738,0.40313111545988256,517,0.6767578125,0.19458128078817735,16.755102040816325,1.0
code_03,code,0,1024,720,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2236328125,0.5376344086021505,0.7103718199608611,1024,0.14453125,0.2875,28.92,1.0
code_03,code,1,1024,707,1.0,0.0,0,1.0,0.0,0.5849609375,0.3489736070381232,0.2041015625,0.4310850439882698,0.525440313111546,415,0.7744140625,0.24045261669024046,20.970588235294116,1.0
code_03,code,2,1024,705,1.0,0.0,0,1.0,0.0,0.54296875,0.26588465298142716,0.1806640625,0.38025415444770283,0.45792563600782776,545,0.97265625,0.21843971631205675,22.28125,1.0
code_03,code,3,1024,723,1.0,0.0,0,1.0,0.0,0.6005859375,0.3597262952101662,0.244140625,0.5259042033235581,0.6301369863013698,415,0.5556640625,0.2959889349930844,19.13157894736842,1.0
code_04,code,0,1024,679,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2333984375,0.4555229716520039,0.5782778864970646,711,0.3466796875,0.3078055964653903,26.26923076923077,1.0
code_04,code,1,1024,707,1.0,0.0,2,1.0,0.001953125,0.4892578125,0.24340175953079177,0.21484375,0.4222873900293255,0.5185909980430529,322,0.5625,0.27722772277227725,13.584905660377359,1.0
code_04,code,2,1024,709,1.0,0.0,2,1.0,0.001953125,0.19140625,0.06451612903225806,0.1298828125,0.1935483870967742,0.2299412915851272,392,0.77734375,0.1368124118476728,12.224137931034482,1.0
code_04,code,3,1024,770,1.0,0.0,3,1.0,0.0029296875,0.3115234375,0.09481915933528837,0.2333984375,0.46236559139784944,0.586105675146771,566,0.3916015625,0.2649350649350649,12.741935483870968,1.0
code_05,code,0,1024,741,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1201171875,0.21114369501466276,0.25929549902152643,346,0.8662109375,0.1349527665317139,10.8,1.0
code_05,code,1,1024,716,1.0,0.0,56,1.0,0.0546875,0.828125,0.7253176930596286,0.123046875,0.22678396871945258,0.27788649706457924,377,0.859375,0.15502793296089384,14.153846153846153,1.0
